Mutual fund,Stake,Sharesowned,Total value ($),Sharesbought / sold,Totalchange,Symbol
SPDR S&P 500 ETF Trust,0.92%,937862,433929990,2652,+0.28%,CTAS
Fidelity Magellan Fund,0.85%,860937,398338331,-7500,-0.86%,CTAS
Government Pension Fund - Global ...,0.81%,819101,378981651,110141,+15.54%,CTAS
iShares Core S&P 500 ETF,0.75%,766610,354695115,104,+0.01%,CTAS
Vanguard Total Stock Market Index...,2.79%,120553740,7477948492,771640,+0.64%,KO
Vanguard 500 Index Fund,2.10%,90865943,5636414444,446986,+0.49%,KO
Government Pension Fund - Global ...,1.05%,45243436,2806450335,8616130,+23.52%,KO
Fidelity 500 Index Fund,0.99%,42666952,2646631033,77574,+0.18%,KO
SPDR S&P 500 ETF Trust,0.98%,42258584,2621299966,120588,+0.29%,KO
Vanguard Value Index Fund,0.81%,34836749,2160923540,268066,+0.78%,KO
iShares Core S&P 500 ETF,0.80%,34543783,2142750859,4648,+0.01%,KO
Schwab US Dividend Equity ETF,0.72%,30919138,1917914130,16996,+0.06%,KO
Vanguard Institutional Index Fund,0.64%,27566341,1709940132,-311072,-1.12%,KO
SPDR Series - Consumer Staples Se...,0.62%,26758015,1659799670,251679,+0.95%,KO
Vanguard Total Stock Market Index...,3.10%,15771070,960931295,-25497,-0.16%,CTSH
Dodge & Cox Stock Fund,2.81%,14309977,871906899,0,0.00%,CTSH
Vanguard 500 Index Fund,2.33%,11883319,724050627,-52252,-0.44%,CTSH
BlackRock Equity Dividend Fund,1.42%,7231542,440617854,-82950,-1.13%,CTSH
Invesco QQQ Trust,1.33%,6766714,412295884,21805,+0.32%,CTSH
Government Pension Fund - Global ...,1.26%,6423087,391358691,1294091,+25.23%,CTSH
Fidelity 500 Index Fund,1.11%,5633888,343272796,10238,+0.18%,CTSH
SPDR S&P 500 ETF Trust,1.10%,5587537,340448629,15756,+0.28%,CTSH
JPMorgan Large Cap Growth Fund,0.95%,4818717,293604427,285117,+6.29%,CTSH
Hartford Dividend & Growth Fund,0.92%,4671812,284653505,-10920,-0.23%,CTSH
Vanguard Total Stock Market Index...,3.09%,9006646,552827931,91927,+1.03%,CMS
Vanguard Mid Cap Index Fund,2.34%,6803168,417578452,24233,+0.36%,CMS
Vanguard 500 Index Fund,2.34%,6799948,417380808,53200,+0.79%,CMS
Washington Mutual Investors Fund,2.15%,6254403,383895256,-771468,-10.98%,CMS
JPMorgan Equity Income Fund,1.83%,5324446,326814495,0,0.00%,CMS
Pictet Global Selection Fund - Gl...,1.69%,4924894,302289994,-78972,-1.58%,CMS
SPDR Series - Utilities Select Se...,1.57%,4572574,280664592,5010,+0.11%,CMS
Franklin Utilities Fund,1.31%,3800000,233244000,0,0.00%,CMS
iShares Tr. - Select Dividend ETF,1.29%,3764328,231054453,-2040,-0.05%,CMS
JPMorgan Mid Cap Value Fund,1.26%,3665778,225005454,0,0.00%,CMS
Dodge & Cox Stock Fund,2.93%,52449900,2747325762,835400,+1.62%,SCHW
Vanguard Total Stock Market Index...,2.67%,47795320,2503518862,302521,+0.64%,SCHW
Vanguard 500 Index Fund,1.99%,35610401,1865272804,175219,+0.49%,SCHW
Vanguard Wellington Fund,1.97%,35326231,1850387980,-1313661,-3.59%,SCHW
Fidelity 500 Index Fund,0.93%,16721306,875862008,30397,+0.18%,SCHW
SPDR S&P 500 ETF Trust,0.92%,16561281,867479899,47268,+0.29%,SCHW
Government Pension Fund - Global ...,0.88%,15669941,820791510,2606428,+19.95%,SCHW
Vanguard Value Index Fund,0.77%,13807864,723255916,99349,+0.72%,SCHW
iShares Core S&P 500 ETF,0.76%,13537806,709110278,1822,+0.01%,SCHW
JPMorgan Large Cap Growth Fund,0.72%,12870420,674152600,0,0.00%,SCHW
Vanguard Total Stock Market Index...,2.79%,114128690,5966077270,337871,+0.30%,CSCO
Vanguard 500 Index Fund,2.34%,95910195,5013705444,521931,+0.55%,CSCO
Invesco QQQ Trust,1.33%,54419900,2844800273,175490,+0.32%,CSCO
Fidelity 500 Index Fund,1.10%,45011922,2352998223,81831,+0.18%,CSCO
SPDR S&P 500 ETF Trust,1.09%,44604328,2331691246,127296,+0.29%,CSCO
Government Pension Fund - Global ...,1.02%,41667438,2178165321,3240170,+8.43%,CSCO
Schwab US Dividend Equity ETF,0.92%,37800251,1976008121,20776,+0.05%,CSCO
iShares Core S&P 500 ETF,0.89%,36461254,1906012053,4906,+0.01%,CSCO
Vanguard Value Index Fund,0.81%,32976518,1723847478,104295,+0.32%,CSCO
Vanguard Institutional Index Fund,0.72%,29329683,1533209179,-327478,-1.10%,CSCO
Vanguard Total Stock Market Index...,3.10%,25709486,1932067873,32053,+0.12%,CL
Vanguard Dividend Growth Fund,2.56%,21242045,1596339682,-2129996,-9.11%,CL
Vanguard 500 Index Fund,2.35%,19499465,1465384795,98052,+0.51%,CL
Fidelity 500 Index Fund,1.10%,9156081,688079487,16641,+0.18%,CL
SPDR S&P 500 ETF Trust,1.09%,9068466,681495220,25896,+0.29%,CL
Government Pension Fund - Global ...,0.96%,7985291,600094619,568694,+7.67%,CL
iShares Core S&P 500 ETF,0.89%,7412877,557077707,998,+0.01%,CL
First Eagle Global Fund,0.87%,7218573,542475761,0,0.00%,CL
SPDR Series - Consumer Staples Se...,0.78%,6487390,487527359,61017,+0.95%,CL
Vanguard Institutional Index Fund,0.71%,5908276,444006941,-65468,-1.10%,CL
Vanguard Total Stock Market Index...,2.79%,53128483,8668443286,-420161,-0.78%,CVX
SPDR Series - Energy Select Secto...,2.43%,46323763,7558185171,638464,+1.40%,CVX
Vanguard 500 Index Fund,2.18%,41532157,6776386736,203092,+0.49%,CVX
Fidelity 500 Index Fund,1.02%,19501819,3181916788,35453,+0.18%,CVX
SPDR S&P 500 ETF Trust,1.01%,19315204,3151468685,55120,+0.29%,CVX
Government Pension Fund - Global ...,0.87%,16577876,2704846248,-9488650,-36.40%,CVX
iShares Core S&P 500 ETF,0.83%,15788973,2576128835,2124,+0.01%,CVX
Vanguard Value Index Fund,0.81%,15351007,2504670302,-106555,-0.69%,CVX
Vanguard Institutional Index Fund,0.67%,12754647,2081048205,-142783,-1.11%,CVX
Schwab US Dividend Equity ETF,0.60%,11389597,1858326647,6258,+0.05%,CVX
Vanguard Total Stock Market Index...,3.10%,7559731,668355818,68907,+0.92%,CHD
Fundsmith Equity Fund,2.85%,6954649,614860518,0,0.00%,CHD
Vanguard Mid Cap Index Fund,2.34%,5700170,503952030,5275,+0.09%,CHD
Vanguard 500 Index Fund,2.33%,5693506,503362865,25720,+0.45%,CHD
Allspring Special Mid Cap Value F...,1.44%,3518400,311061744,0,0.00%,CHD
Fundsmith SICAV - Equity Fund,1.28%,3113169,275235271,0,0.00%,CHD
MFS Massachusetts Investors Growt...,1.27%,3104727,274488914,44190,+1.44%,CHD
Fidelity 500 Index Fund,1.10%,2673417,236356797,4855,+0.18%,CHD
SPDR S&P 500 ETF Trust,1.09%,2647847,234096153,7540,+0.29%,CHD
Washington Mutual Investors Fund,0.99%,2405239,212647180,0,0.00%,CHD
Vanguard Total Stock Market Index...,3.09%,9179062,2345525713,-228996,-2.43%,CI
Dodge & Cox Stock Fund,2.61%,7755172,1981679101,0,0.00%,CI
Vanguard 500 Index Fund,2.35%,6973217,1781866140,-129884,-1.83%,CI
MFS Value Fund,1.80%,5343345,1365384948,0,0.00%,CI
Fidelity 500 Index Fund,1.13%,3351681,856455046,6093,+0.18%,CI
SPDR S&P 500 ETF Trust,1.09%,3242899,828657981,9256,+0.29%,CI
Government Pension Fund - Global ...,0.96%,2836727,724868850,-342025,-10.76%,CI
Vanguard Value Index Fund,0.90%,2657304,679020891,-56994,-2.10%,CI
iShares Core S&P 500 ETF,0.89%,2650901,677384733,356,+0.01%,CI
Washington Mutual Investors Fund,0.80%,2386000,609694580,-763300,-24.24%,CI
Vanguard Total Stock Market Index...,3.10%,6069361,439967979,34764,+0.58%,CF
Vanguard 500 Index Fund,2.34%,4581171,332089086,20440,+0.45%,CF
Vanguard Mid Cap Index Fund,2.34%,4572627,331469731,-6660,-0.15%,CF
T Rowe Price Equity Income Fund,2.02%,3950000,286335500,260000,+7.05%,CF
American Balanced Fund,1.56%,3057000,221601930,293000,+10.60%,CF
Pacer Fds. Tr. - US Cash Cows 100...,1.30%,2534633,183735546,8262,+0.33%,CF
Fidelity 500 Index Fund,1.10%,2150733,155906635,3909,+0.18%,CF
SPDR S&P 500 ETF Trust,1.09%,2126666,154162018,6084,+0.29%,CF
First Trust Rising Dividend Achie...,1.06%,2081891,150916279,-1196,-0.06%,CF
Government Pension Fund - Global ...,0.93%,1826081,132372612,-813480,-30.82%,CF
Dodge & Cox Stock Fund,3.47%,5297276,1894358870,211890,+4.17%,CHTR
American Balanced Fund,2.07%,3156922,1128946876,-28500,-0.89%,CHTR
Vanguard Total Stock Market Index...,1.85%,2830483,1012209026,-283498,-9.10%,CHTR
Vanguard 500 Index Fund,1.61%,2459164,879421638,-36460,-1.46%,CHTR
Invesco QQQ Trust,1.33%,2028272,725330350,6545,+0.32%,CHTR
MFS Value Fund,1.09%,1661286,594092486,0,0.00%,CHTR
American Funds Growth Fund of Ame...,1.06%,1623838,580700707,99618,+6.54%,CHTR
SPDR Series - Communication Servi...,0.82%,1252599,447941928,75702,+6.43%,CHTR
Fidelity 500 Index Fund,0.77%,1177529,421096146,2141,+0.18%,CHTR
SPDR S&P 500 ETF Trust,0.75%,1143642,408977816,3276,+0.29%,CHTR
Vanguard Total Stock Market Index...,3.11%,12857955,2496757702,723192,+5.96%,CB
Vanguard 500 Index Fund,2.34%,9690263,1881655269,47640,+0.49%,CB
Washington Mutual Investors Fund,1.70%,7028063,1364709273,-112534,-1.58%,CB
Vanguard Dividend Growth Fund,1.47%,6094600,1183449428,-295863,-4.63%,CB
MFS Value Fund,1.42%,5849120,1135782122,0,0.00%,CB
Fidelity 500 Index Fund,1.10%,4550009,883520748,8273,+0.18%,CB
SPDR S&P 500 ETF Trust,1.09%,4498861,873588829,12844,+0.29%,CB
American Balanced Fund,1.03%,4248903,825051985,-1739958,-29.05%,CB
American Funds New Perspective Fu...,0.92%,3815421,740878450,0,0.00%,CB
Vanguard Value Index Fund,0.90%,3713824,721150344,210391,+6.01%,CB
Vanguard Total Stock Market Index...,3.09%,1576393,318147635,11200,+0.72%,CRL
Vanguard 500 Index Fund,2.33%,1187832,239728254,6640,+0.56%,CRL
Allspring Special Mid Cap Value F...,1.81%,922614,186201957,-23200,-2.45%,CRL
T Rowe Price Mid Cap Value Fund,1.64%,834004,168318687,231774,+38.49%,CRL
Vanguard Small Cap Index Fund,1.31%,667075,134629077,4060,+0.61%,CRL
Vanguard Mid Cap Index Fund,1.17%,595451,120173921,2354,+0.40%,CRL
BlackRock Mid Cap Growth Equity P...,1.11%,566644,114360092,57906,+11.38%,CRL
Fidelity 500 Index Fund,1.09%,557764,112567930,1014,+0.18%,CRL
SPDR S&P 500 ETF Trust,1.08%,552411,111487588,1560,+0.28%,CRL
iShares Core S&P 500 ETF,0.89%,451600,91141912,60,+0.01%,CRL
Pershing Square Holdings Ltd.,3.48%,962452,1644147127,0,0.00%,CMG
American Funds Growth Fund of Ame...,3.12%,861117,1471037560,25000,+2.99%,CMG
Vanguard Total Stock Market Index...,3.10%,855000,1460587950,2000,+0.23%,CMG
Vanguard 500 Index Fund,2.34%,644989,1101828259,980,+0.15%,CMG
Advisors Inner Circle - Edgewood ...,1.73%,477242,815267736,-109560,-18.67%,CMG
Government Pension Fund - Global ...,1.17%,323659,552903433,68152,+26.67%,CMG
Vanguard Mid Cap Index Fund,1.17%,322591,551078979,-1047,-0.32%,CMG
T Rowe Price Blue Chip Growth Fun...,1.12%,307923,526021782,-46969,-13.23%,CMG
Fidelity 500 Index Fund,1.10%,303893,519137373,552,+0.18%,CMG
SPDR S&P 500 ETF Trust,1.09%,299896,512309338,832,+0.28%,CMG
Vanguard Total Stock Market Index...,3.10%,11140238,2133578382,72454,+0.65%,CME
Washington Mutual Investors Fund,2.57%,9246717,1770931240,821764,+9.75%,CME
American Funds Income Fund of Ame...,2.46%,8857620,1696411382,1277854,+16.86%,CME
Vanguard 500 Index Fund,2.34%,8398359,1608453716,39940,+0.48%,CME
Capital Income Builder,1.43%,5153276,986955420,1150096,+28.73%,CME
American Mutual Fund,1.14%,4096908,784639820,-453052,-9.96%,CME
Fidelity 500 Index Fund,1.10%,3943506,755260269,7168,+0.18%,CME
SPDR S&P 500 ETF Trust,1.08%,3899529,746837794,11128,+0.29%,CME
Parnassus Core Equity Fund,1.07%,3837628,734982515,349701,+10.03%,CME
JPMorgan Equity Income Fund,1.06%,3823779,732330154,264856,+7.44%,CME
Vanguard Total Stock Market Index...,2.93%,56986430,2672093703,370320,+0.65%,C
Vanguard 500 Index Fund,2.33%,45218561,2120298325,221194,+0.49%,C
Fidelity 500 Index Fund,1.09%,21232862,995608899,38605,+0.18%,C
SPDR S&P 500 ETF Trust,1.08%,20994674,984440264,60008,+0.29%,C
iShares Core S&P 500 ETF,0.88%,17190410,806058325,2314,+0.01%,C
Vanguard Value Index Fund,0.85%,16463210,771959917,109147,+0.67%,C
MFS Value Fund,0.75%,14498653,679841839,1298822,+9.84%,C
Vanguard Windsor Funds - Vanguard...,0.72%,13961503,654654876,34700,+0.25%,C
Vanguard Institutional Index Fund,0.71%,13717039,643191959,-153024,-1.10%,C
Government Pension Fund - Global ...,0.70%,13509230,633447795,-762192,-5.34%,C
Vanguard Total Stock Market Index...,3.10%,4870393,545873647,31204,+0.64%,CINF
Vanguard Mid Cap Index Fund,2.34%,3672722,411638682,3034,+0.08%,CINF
Vanguard 500 Index Fund,2.33%,3669695,411299416,16480,+0.45%,CINF
SPDR S&P Dividend ETF,1.34%,2113309,236859673,-576,-0.03%,CINF
Vanguard Windsor Funds - Vanguard...,1.33%,2086000,233798880,-106000,-4.84%,CINF
Fidelity 500 Index Fund,1.10%,1723139,193129419,3132,+0.18%,CINF
SPDR S&P 500 ETF Trust,1.09%,1719266,192695333,4888,+0.29%,CINF
ProShares S&P 500 Dividend Aristo...,1.03%,1614176,180916846,0,0.00%,CINF
iShares Tr. - Select Dividend ETF,0.94%,1470637,164828995,-796,-0.05%,CINF
Government Pension Fund - Global ...,0.91%,1423844,159584436,10561,+0.75%,CINF
Washington Mutual Investors Fund,3.43%,16611110,504479411,-1055311,-5.97%,CFG
Vanguard Total Stock Market Index...,3.09%,14948535,453987008,-188143,-1.24%,CFG
Vanguard 500 Index Fund,2.38%,11497706,349185331,52300,+0.46%,CFG
Vanguard Mid Cap Index Fund,2.34%,11307592,343411569,-194068,-1.69%,CFG
iShares Tr. - Select Dividend ETF,1.49%,7187364,218280245,-3894,-0.05%,CFG
Pioneer Fund,1.48%,7152228,217213164,67020,+0.95%,CFG
Fidelity 500 Index Fund,1.12%,5398961,163966446,9808,+0.18%,CFG
SPDR S&P 500 ETF Trust,1.10%,5313448,161369416,15236,+0.29%,CFG
Government Pension Fund - Global ...,0.99%,4786434,145364001,-936046,-16.36%,CFG
First Trust Rising Dividend Achie...,0.99%,4785100,145323487,-2748,-0.06%,CFG
Vanguard Total Stock Market Index...,3.09%,3821026,604639154,29642,+0.78%,CLX
Vanguard Mid Cap Index Fund,2.34%,2885234,456559428,8532,+0.30%,CLX
Vanguard 500 Index Fund,2.34%,2883786,456330297,15940,+0.56%,CLX
SPDR S&P Dividend ETF,1.60%,1973328,312259423,-538,-0.03%,CLX
Fidelity 500 Index Fund,1.10%,1352615,214037798,2457,+0.18%,CLX
SPDR S&P 500 ETF Trust,1.09%,1341146,212222943,3848,+0.29%,CLX
Federated Hermes Strategic Value ...,1.08%,1332375,210835020,-1000,-0.07%,CLX
ProShares S&P 500 Dividend Aristo...,0.98%,1207946,191145375,0,0.00%,CLX
Vanguard Value Index Fund,0.89%,1104738,174813741,11350,+1.04%,CLX
Vanguard Mid Cap Value Index Fund,0.89%,1103393,174600908,13072,+1.20%,CLX
Vanguard Real Estate Index Fund,4.40%,19077280,2553303155,-166914,-0.87%,CCI
Vanguard Total Stock Market Index...,3.09%,13408736,1794625226,81347,+0.61%,CCI
Vanguard 500 Index Fund,2.33%,10108963,1352983608,49240,+0.49%,CCI
Capital Income Builder,2.28%,9882094,1322619461,-98168,-0.98%,CCI
American Funds Income Fund of Ame...,1.68%,7281527,974559574,-863534,-10.60%,CCI
American Balanced Fund,1.55%,6702260,897030478,0,0.00%,CCI
Fidelity 500 Index Fund,1.10%,4747313,635380372,8629,+0.18%,CCI
SPDR S&P 500 ETF Trust,1.08%,4693632,628195707,13416,+0.29%,CCI
Government Pension Fund - Global ...,1.07%,4649004,622222695,805370,+20.95%,CCI
iShares Core S&P 500 ETF,0.89%,3843039,514352340,518,+0.01%,CCI
American Funds Growth Fund of Ame...,5.51%,18917823,1848082129,-164967,-0.86%,DHI
American Balanced Fund,3.12%,10699000,1045185310,-1096000,-9.29%,DHI
Vanguard Total Stock Market Index...,2.79%,9573925,935276733,40114,+0.42%,DHI
American Funds Investment Company...,2.41%,8284915,809353346,-3737944,-31.09%,DHI
Vanguard 500 Index Fund,2.13%,7296728,712817358,27660,+0.38%,DHI
Vanguard Mid Cap Index Fund,2.10%,7218993,705223426,-17238,-0.24%,DHI
American Funds Fundamental Invest...,1.93%,6642000,648856980,0,0.00%,DHI
American Funds Insurance Series -...,1.50%,5161744,504250771,-333100,-6.06%,DHI
Parnassus Core Equity Fund,1.46%,4998278,488281778,0,0.00%,DHI
Washington Mutual Investors Fund,1.30%,4473500,437016215,0,0.00%,DHI
Vanguard Total Stock Market Index...,2.79%,23588758,832211382,161431,+0.69%,GLW
Vanguard Mid Cap Index Fund,2.10%,17796196,627849795,25983,+0.15%,GLW
Vanguard 500 Index Fund,2.10%,17771948,626994325,85340,+0.48%,GLW
Vanguard Equity Income Fund,1.41%,11973741,422433582,501363,+4.37%,GLW
JPMorgan Equity Income Fund,1.15%,9766423,344559403,0,0.00%,GLW
Fidelity 500 Index Fund,0.99%,8345026,294412517,15167,+0.18%,GLW
SPDR S&P 500 ETF Trust,0.98%,8265160,291594845,23608,+0.29%,GLW
Vanguard Wellesley Income Fund,0.89%,7499269,264574210,-463200,-5.82%,GLW
Government Pension Fund - Global ...,0.87%,7377874,260291395,-19122,-0.26%,GLW
Vanguard Value Index Fund,0.81%,6814943,240431189,46961,+0.69%,GLW
Vanguard Total Stock Market Index...,3.02%,23177816,568783605,152297,+0.66%,CTRA
SPDR Series - Energy Select Secto...,2.99%,22989034,564150894,316800,+1.40%,CTRA
Vanguard Equity Income Fund,2.74%,21071539,517095567,731625,+3.60%,CTRA
Vanguard 500 Index Fund,2.40%,18407448,451718774,82172,+0.45%,CTRA
Vanguard Mid Cap Index Fund,2.28%,17495805,429347055,31814,+0.18%,CTRA
Vanguard Wellesley Income Fund,1.74%,13395584,328727631,4823363,+56.27%,CTRA
Schwab US Dividend Equity ETF,1.49%,11445483,280872153,6286,+0.05%,CTRA
American Funds Income Fund of Ame...,1.26%,9670000,237301800,0,0.00%,CTRA
Vanguard Windsor Funds - Vanguard...,1.25%,9614000,235927560,0,0.00%,CTRA
American Balanced Fund,1.23%,9411441,230956762,0,0.00%,CTRA
Vanguard Total Stock Market Index...,2.79%,20305162,5117713030,142073,+0.70%,DHR
Vanguard 500 Index Fund,2.10%,15302973,3856961315,82600,+0.54%,DHR
Government Pension Fund - Global ...,1.05%,7650705,1928283688,1670365,+27.93%,DHR
Fidelity 500 Index Fund,0.99%,7182303,1810227648,13058,+0.18%,DHR
SPDR S&P 500 ETF Trust,0.98%,7116870,1793735915,20332,+0.29%,DHR
iShares Core S&P 500 ETF,0.80%,5817606,1466269416,782,+0.01%,DHR
SPDR Series - Health Care Select ...,0.71%,5164133,1301568081,0,0.00%,DHR
Vanguard Dividend Growth Fund,0.65%,4766298,1201297748,828142,+21.03%,DHR
Vanguard Institutional Index Fund,0.64%,4636971,1168702171,-52320,-1.12%,DHR
Vanguard Health Care Fund,0.61%,4433654,1117458154,89389,+2.06%,DHR
Vanguard Total Stock Market Index...,2.63%,4852595,1096152685,28135,+0.58%,STZ
Vanguard 500 Index Fund,2.06%,3790412,856216167,18300,+0.49%,STZ
Washington Mutual Investors Fund,1.24%,2278157,514612885,2278157,--,STZ
American Mutual Fund,1.20%,2211811,499625987,1040622,+88.85%,STZ
American Funds Growth Fund of Ame...,1.10%,2025783,457604122,-400000,-16.49%,STZ
Fidelity 500 Index Fund,0.97%,1779553,401983227,3234,+0.18%,STZ
SPDR S&P 500 ETF Trust,0.95%,1758973,397334411,5044,+0.29%,STZ
Government Pension Fund - Global ...,0.86%,1576572,356131849,136097,+9.45%,STZ
American Balanced Fund,0.83%,1524416,344350330,0,0.00%,STZ
iShares Core S&P 500 ETF,0.78%,1441004,325508394,194,+0.01%,STZ
Washington Mutual Investors Fund,4.33%,14193265,1114171303,1278440,+9.90%,CEG
Vanguard Total Stock Market Index...,3.09%,10105106,793250821,55221,+0.55%,CEG
Vanguard 500 Index Fund,2.33%,7634676,599322066,36900,+0.49%,CEG
Vanguard Mid Cap Index Fund,2.33%,7630043,598958376,8542,+0.11%,CEG
Vanguard Wellington Fund,1.97%,6463921,507417799,-247198,-3.68%,CEG
SPDR Series - Utilities Select Se...,1.57%,5131781,402844809,5625,+0.11%,CEG
Invesco QQQ Trust,1.33%,4346359,341189182,14000,+0.32%,CEG
American Funds Fundamental Invest...,1.20%,3920463,307756346,1212099,+44.75%,CEG
Fidelity 500 Index Fund,1.10%,3584954,281418889,6516,+0.18%,CEG
SPDR S&P 500 ETF Trust,1.08%,3544171,278217424,10140,+0.29%,CEG
Vanguard Total Stock Market Index...,3.10%,13738327,6826162536,117932,+0.87%,COST
Vanguard 500 Index Fund,2.34%,10359502,5147325759,77272,+0.75%,COST
Invesco QQQ Trust,1.33%,5895648,2929370622,19005,+0.32%,COST
Government Pension Fund - Global ...,1.13%,4995365,2482047008,1004498,+25.17%,COST
Fidelity 500 Index Fund,1.09%,4852072,2410849015,8822,+0.18%,COST
SPDR S&P 500 ETF Trust,1.09%,4817835,2393837676,13728,+0.29%,COST
iShares Core S&P 500 ETF,0.89%,3938290,1956818152,530,+0.01%,COST
Vanguard Growth Index Fund,0.85%,3778890,1877617074,2962,+0.08%,COST
Vanguard Institutional Index Fund,0.71%,3137378,1558869007,-35135,-1.11%,COST
SPDR Series - Consumer Staples Se...,0.69%,3050598,1515750628,28681,+0.95%,COST
Vanguard Total Stock Market Index...,3.10%,4376349,1045422249,36867,+0.85%,CMI
Vanguard 500 Index Fund,2.33%,3298834,788025466,22740,+0.69%,CMI
Fidelity 500 Index Fund,1.09%,1545962,369299403,2810,+0.18%,CMI
SPDR S&P 500 ETF Trust,1.09%,1534182,366485396,4368,+0.29%,CMI
First Eagle Global Fund,1.03%,1455755,347750754,0,0.00%,CMI
Columbia Dividend Income Fund,0.95%,1346082,321552068,-12972,-0.95%,CMI
American Mutual Fund,0.92%,1297738,310003653,0,0.00%,CMI
Vanguard Value Index Fund,0.89%,1264515,302067343,11096,+0.89%,CMI
iShares Core S&P 500 ETF,0.89%,1254114,299582752,168,+0.01%,CMI
Neuberger Berman Large Cap Value ...,0.86%,1209371,288894544,294342,+32.17%,CMI
Vanguard Total Stock Market Index...,3.09%,37656627,3735913965,-691225,-1.80%,COP
Vanguard 500 Index Fund,2.34%,28573150,2834742212,-375840,-1.30%,COP
SPDR Series - Energy Select Secto...,1.35%,16405842,1627623585,226048,+1.40%,COP
Fidelity 500 Index Fund,1.12%,13660125,1355221001,24837,+0.18%,COP
SPDR S&P 500 ETF Trust,1.09%,13288157,1318318056,37908,+0.29%,COP
JPMorgan Equity Income Fund,1.02%,12466544,1236805830,0,0.00%,COP
Vanguard Equity Income Fund,0.95%,11627239,1153538381,1276987,+12.34%,COP
Vanguard Value Index Fund,0.90%,10902565,1081643474,-160772,-1.45%,COP
iShares Core S&P 500 ETF,0.89%,10862251,1077643922,1462,+0.01%,COP
MFS Value Fund,0.87%,10628377,1054441282,0,0.00%,COP
Vanguard Total Stock Market Index...,3.09%,129971381,4927215054,-2771213,-2.09%,CMCSA
Washington Mutual Investors Fund,2.52%,106110390,4022644885,5517800,+5.49%,CMCSA
Vanguard 500 Index Fund,2.34%,98213852,3723287129,-2010009,-2.01%,CMCSA
American Funds Investment Company...,1.35%,56961916,2159426236,-3326531,-5.52%,CMCSA
Invesco QQQ Trust,1.33%,55891700,2118854347,180215,+0.32%,CMCSA
Government Pension Fund - Global ...,1.20%,50396288,1910523278,1488923,+3.04%,CMCSA
American Balanced Fund,1.16%,48952834,1855801937,-390981,-0.79%,CMCSA
