Stockholder,Stake,Sharesowned,Total value ($),Sharesbought / sold,Totalchange,Symbol
"JPMorgan Investment Management, I...",1.48%,64001647,3970022163,695042,+1.10%,KO
Wellington Management Co. LLP,1.39%,60024533,3723321782,-5478487,-8.36%,KO
Charles Schwab Investment Managem...,1.34%,58090088,3603328159,4147833,+7.69%,KO
Norges Bank Investment Management,1.07%,46176945,2864355898,8649051,+23.05%,KO
"The Vanguard Group, Inc.",8.17%,41592404,2534225176,185725,+0.45%,CTSH
BlackRock Fund Advisors,5.28%,26892164,1638539553,1137411,+4.42%,CTSH
"SSgA Funds Management, Inc.",4.31%,21942145,1336934895,-78133,-0.35%,CTSH
Dodge & Cox,3.99%,20343757,1239545114,-3762089,-15.61%,CTSH
Pzena Investment Management LLC,3.41%,17357679,1057603381,3102695,+21.77%,CTSH
Walter Scott & Partners Ltd.,2.63%,13382242,815380005,-199045,-1.47%,CTSH
BlackRock Advisors LLC,2.09%,10660331,649533968,4014337,+60.40%,CTSH
Fidelity Management & Research Co...,2.01%,10249737,624516475,-6907132,-40.26%,CTSH
Geode Capital Management LLC,1.89%,9616835,585953757,-276,-0.00%,CTSH
First Trust Advisors LP,1.68%,8566055,521929731,3428877,+66.75%,CTSH
"The Vanguard Group, Inc.",12.39%,36073983,2214221077,313030,+0.88%,CMS
BlackRock Fund Advisors,6.97%,20289877,1245392650,580196,+2.94%,CMS
"SSgA Funds Management, Inc.",5.66%,16479206,1011493664,-376473,-2.23%,CMS
"JPMorgan Investment Management, I...",5.37%,15646784,960399602,784237,+5.28%,CMS
Capital Research & Management Co....,3.81%,11090214,680717335,1506121,+15.71%,CMS
Columbia Management Investment Ad...,2.25%,6556633,402446134,342206,+5.51%,CMS
Geode Capital Management LLC,2.12%,6161072,378166599,101278,+1.67%,CMS
Pictet Asset Management SA,1.72%,5018631,308043571,294681,+6.24%,CMS
"T. Rowe Price Associates, Inc. (I...",1.68%,4896774,300563988,323724,+7.08%,CMS
Wells Fargo Clearing Services LLC,1.60%,4660988,286091443,-159040,-3.30%,CMS
"TD Asset Management, Inc.",12.66%,226856928,11882765889,120828,+0.05%,SCHW
"The Vanguard Group, Inc.",6.68%,119607183,6265024246,1352178,+1.14%,SCHW
Wellington Management Co. LLP,4.46%,79847280,4182400526,4431475,+5.88%,SCHW
Dodge & Cox,4.32%,77428730,4055716877,-3082411,-3.83%,SCHW
BlackRock Fund Advisors,3.89%,69742924,3653134359,4891730,+7.54%,SCHW
"SSgA Funds Management, Inc.",3.65%,65295069,3420155714,-271295,-0.41%,SCHW
"T. Rowe Price Associates, Inc. (I...",2.23%,39880041,2088916548,-10940273,-21.53%,SCHW
Massachusetts Financial Services ...,1.57%,28166148,1475342832,-3729202,-11.69%,SCHW
"JPMorgan Investment Management, I...",1.57%,28128402,1473365697,1702311,+6.44%,SCHW
Geode Capital Management LLC,1.49%,26658930,1396394753,606423,+2.33%,SCHW
"The Vanguard Group, Inc.",8.86%,363070808,18979526488,2559166,+0.71%,CSCO
BlackRock Fund Advisors,5.40%,221290275,11567949126,-1488231,-0.67%,CSCO
"SSgA Funds Management, Inc.",4.42%,180818428,9452283324,-1497715,-0.82%,CSCO
Geode Capital Management LLC,1.87%,76736984,4011425839,750247,+0.99%,CSCO
Charles Schwab Investment Managem...,1.72%,70560539,3688552176,3841840,+5.76%,CSCO
Wellington Management Co. LLP,1.20%,49191606,2571491204,-2224762,-4.33%,CSCO
"Northern Trust Investments, Inc.(...",1.14%,46643014,2438263557,96345,+0.21%,CSCO
Columbia Management Investment Ad...,1.11%,45600934,2383788825,2999362,+7.04%,CSCO
Dodge & Cox,1.05%,42926577,2243986813,-3377450,-7.29%,CSCO
Norges Bank Investment Management,1.04%,42585665,2226165638,3254277,+8.27%,CSCO
"The Vanguard Group, Inc.",9.25%,76804816,5771881922,1672304,+2.23%,CL
"SSgA Funds Management, Inc.",5.98%,49614512,3728530577,581496,+1.19%,CL
BlackRock Fund Advisors,5.05%,41968278,3153916092,1796263,+4.47%,CL
Wellington Management Co. LLP,4.39%,36427142,2737499721,-2462469,-6.33%,CL
Geode Capital Management LLC,2.09%,17345117,1303485543,349165,+2.05%,CL
Massachusetts Financial Services ...,1.78%,14762048,1109367907,-1588046,-9.71%,CL
Third Point LLC,1.39%,11550000,867982500,0,0.00%,CL
First Eagle Investment Management...,1.33%,11029990,828903749,269814,+2.51%,CL
"Northern Trust Investments, Inc.(...",1.08%,8978358,674723604,-83255,-0.92%,CL
Norges Bank Investment Management,0.99%,8182701,614929980,575941,+7.57%,CL
"Berkshire Hathaway, Inc. (Investm...",8.55%,162975771,26591126796,-2383547,-1.44%,CVX
"The Vanguard Group, Inc.",7.95%,151642414,24741976268,-350140,-0.23%,CVX
"SSgA Funds Management, Inc.",6.70%,127680249,20832309427,-1876767,-1.45%,CVX
BlackRock Fund Advisors,5.00%,95291967,15547837336,343233,+0.36%,CVX
Geode Capital Management LLC,1.72%,32716399,5338007661,-344388,-1.04%,CVX
Capital Research & Management Co....,1.14%,21749142,3548590009,-693432,-3.09%,CVX
"Northern Trust Investments, Inc.(...",1.13%,21522441,3511601474,-443506,-2.02%,CVX
Morgan Stanley Smith Barney LLC (...,0.95%,18059932,2946658505,-264012,-1.44%,CVX
Norges Bank Investment Management,0.89%,17038470,2779996765,-9477027,-35.74%,CVX
Managed Account Advisors LLC,0.88%,16778069,2737509738,-1785040,-9.62%,CVX
"The Vanguard Group, Inc.",11.73%,28614994,2529851620,585491,+2.09%,CHD
BlackRock Fund Advisors,5.86%,14295922,1263902464,225468,+1.60%,CHD
"SSgA Funds Management, Inc.",5.30%,12939551,1143985704,727626,+5.96%,CHD
Fundsmith LLP,4.80%,11714225,1035654632,37912,+0.32%,CHD
Massachusetts Financial Services ...,3.10%,7554668,667908198,909581,+13.69%,CHD
Geode Capital Management LLC,2.12%,5174231,457453763,117496,+2.32%,CHD
Allspring Global Investments LLC,2.06%,5019907,443809978,-172612,-3.32%,CHD
Neuberger Berman Investment Advis...,1.38%,3377773,298628911,29690,+0.89%,CHD
Invesco Capital Management LLC,1.10%,2694279,238201206,205248,+8.25%,CHD
Capital Research & Management Co....,1.05%,2570525,227260115,-5050,-0.20%,CHD
"The Vanguard Group, Inc.",8.19%,24316106,6213494566,245228,+1.02%,CI
BlackRock Fund Advisors,5.02%,14899953,3807384990,480058,+3.33%,CI
"SSgA Funds Management, Inc.",4.73%,14061904,3593238329,-80586,-0.57%,CI
"T. Rowe Price Associates, Inc. (I...",4.60%,13656608,3489673042,-845837,-5.83%,CI
Fidelity Management & Research Co...,4.18%,12405618,3170007568,372478,+3.10%,CI
Dodge & Cox,3.89%,11548557,2951002770,-557269,-4.60%,CI
Massachusetts Financial Services ...,3.71%,11008151,2812912825,-607126,-5.23%,CI
Capital Research & Management Co....,2.87%,8538745,2181905510,-1226660,-12.56%,CI
Sanders Capital LLC,2.38%,7055703,1802943788,-309268,-4.20%,CI
Geode Capital Management LLC,1.84%,5473142,1398551975,-4947,-0.09%,CI
"The Vanguard Group, Inc.",12.49%,24458981,1773031533,245507,+1.01%,CF
Fidelity Management & Research Co...,8.24%,16131533,1169374827,-2568531,-13.74%,CF
BlackRock Fund Advisors,6.92%,13546547,981989192,2347321,+20.96%,CF
"T. Rowe Price Associates, Inc. (I...",6.20%,12144184,880331898,354257,+3.00%,CF
"SSgA Funds Management, Inc.",4.77%,9332509,676513577,115807,+1.26%,CF
Geode Capital Management LLC,2.32%,4544421,329425078,-127475,-2.73%,CF
Capital Research & Management Co....,1.83%,3581930,259654106,99278,+2.85%,CF
"Northern Trust Investments, Inc.(...",1.53%,2995874,217170906,60486,+2.06%,CF
Morgan Stanley & Co. LLC,1.30%,2546519,184597162,2021163,+384.72%,CF
BlackRock Investment Management (...,1.28%,2497476,181042035,79549,+3.29%,CF
Dodge & Cox,5.55%,8471513,3029497764,1746242,+25.97%,CHTR
"The Vanguard Group, Inc.",5.33%,8132774,2908361310,-93178,-1.13%,CHTR
Capital Research & Management Co....,4.92%,7505839,2684163085,-601640,-7.42%,CHTR
"SSgA Funds Management, Inc.",3.41%,5197169,1858559606,-128550,-2.41%,CHTR
BlackRock Fund Advisors,3.04%,4632442,1656607584,-545219,-10.53%,CHTR
Massachusetts Financial Services ...,2.57%,3928947,1405030737,-655678,-14.30%,CHTR
Harris Associates LP,2.56%,3900700,1394929327,-436858,-10.07%,CHTR
"Berkshire Hathaway, Inc. (Investm...",2.51%,3828941,1369267591,0,0.00%,CHTR
"Advance Publications, Inc. (Inves...",2.06%,3136511,1121647699,0,0.00%,CHTR
Fidelity Management & Research Co...,1.74%,2650172,947728009,688037,+35.07%,CHTR
"The Vanguard Group, Inc.",8.81%,36433869,7074728682,234160,+0.65%,CB
"T. Rowe Price Associates, Inc. (I...",5.95%,24611292,4779020681,1593764,+6.92%,CB
Wellington Management Co. LLP,4.77%,19714509,3828163358,-1265134,-6.03%,CB
Capital Research & Management Co....,4.71%,19484165,3783435160,-672300,-3.34%,CB
"SSgA Funds Management, Inc.",4.66%,19256717,3739269307,-598671,-3.02%,CB
BlackRock Fund Advisors,4.55%,18813348,3653175915,321733,+1.74%,CB
Massachusetts Financial Services ...,2.82%,11657475,2263648496,-931923,-7.40%,CB
Capital Research & Management Co....,2.47%,10223047,1985111266,696784,+7.31%,CB
Fidelity Management & Research Co...,2.27%,9389387,1823231168,-41201,-0.44%,CB
Geode Capital Management LLC,1.88%,7772704,1509303663,55990,+0.73%,CB
"The Vanguard Group, Inc.",11.27%,5746189,1159695864,-22757,-0.39%,CRL
BlackRock Fund Advisors,6.17%,3144172,634556793,58050,+1.88%,CRL
"SSgA Funds Management, Inc.",4.05%,2066289,417018446,35148,+1.73%,CRL
"T. Rowe Price Associates, Inc. (I...",3.63%,1852503,373872155,266004,+16.77%,CRL
Kayne Anderson Rudnick Investment...,3.17%,1616800,326302576,-15461,-0.95%,CRL
ClearBridge Investments LLC,2.69%,1370858,276666562,-78671,-5.43%,CRL
Allspring Global Investments LLC,2.26%,1152930,232684333,8644,+0.76%,CRL
Geode Capital Management LLC,2.04%,1037397,209367463,42486,+4.27%,CRL
Marshall Wace LLP,1.72%,874773,176546687,319095,+57.42%,CRL
Jackson Square Partners LLC,1.69%,861123,173791844,-9665,-1.11%,CRL
"The Vanguard Group, Inc.",9.20%,2542422,4343194078,36445,+1.45%,CMG
"T. Rowe Price Associates, Inc. (I...",6.23%,1720260,2938702955,-377080,-17.98%,CMG
BlackRock Fund Advisors,4.87%,1345641,2298745064,45031,+3.46%,CMG
Pershing Square Capital Managemen...,4.00%,1105208,1888015774,0,0.00%,CMG
Capital Research & Management Co....,3.79%,1047028,1788627462,-32316,-2.99%,CMG
"SSgA Funds Management, Inc.",3.76%,1037611,1772540495,-20938,-1.98%,CMG
Capital Research & Management Co....,3.41%,942383,1609863455,70432,+8.08%,CMG
Edgewood Management LLC,3.32%,917764,1567807064,-160808,-14.91%,CMG
"JPMorgan Investment Management, I...",2.38%,656008,1120651906,6627,+1.02%,CMG
Geode Capital Management LLC,2.01%,555959,949739200,14505,+2.68%,CMG
"The Vanguard Group, Inc.",8.79%,31612280,6054383866,340982,+1.09%,CME
BlackRock Fund Advisors,4.74%,17032509,3262066124,734225,+4.50%,CME
"SSgA Funds Management, Inc.",4.40%,15829293,3031626195,194876,+1.25%,CME
Capital Research & Management Co....,4.36%,15672623,3001620757,-15554066,-49.81%,CME
Capital Research & Management Co....,4.11%,14778526,2830383300,27057,+0.18%,CME
"JPMorgan Investment Management, I...",2.53%,9092291,1741355572,2751862,+43.40%,CME
Geode Capital Management LLC,1.94%,6976560,1336150771,133323,+1.95%,CME
Capital Research & Management Co....,1.65%,5949004,1139353246,-163982,-2.68%,CME
Parnassus Investments LLC,1.18%,4243547,812724121,-1946952,-31.45%,CME
Edgewood Management LLC,1.14%,4112696,787663538,-2444831,-37.28%,CME
"The Vanguard Group, Inc.",8.20%,159373081,7473003768,1834942,+1.16%,C
BlackRock Fund Advisors,4.89%,94950752,4452240761,1701632,+1.82%,C
"SSgA Funds Management, Inc.",4.42%,85950514,4030219601,460880,+0.54%,C
"Berkshire Hathaway, Inc. (Investm...",2.84%,55155797,2586255321,0,0.00%,C
Geode Capital Management LLC,1.78%,34659804,1625198210,235958,+0.69%,C
Hotchkis & Wiley Capital Manageme...,1.11%,21582837,1012019227,258554,+1.21%,C
"T. Rowe Price Associates, Inc. (I...",1.05%,20411429,957091906,8217942,+67.40%,C
Mellon Investments Corp.,1.02%,19900292,933124692,303362,+1.55%,C
Eagle Capital Management LLC,0.99%,19321013,905962300,-1950493,-9.17%,C
Massachusetts Financial Services ...,0.94%,18356490,860735816,-365863,-1.95%,C
"The Vanguard Group, Inc.",12.34%,19410493,2175528055,655746,+3.50%,CINF
"SSgA Funds Management, Inc.",6.07%,9548725,1070221098,15124,+0.16%,CINF
BlackRock Fund Advisors,5.79%,9110828,1021141602,566920,+6.64%,CINF
Aristotle Capital Management LLC,5.78%,9082339,1017948555,0,0.00%,CINF
Charles Schwab Investment Managem...,2.12%,3334877,373773014,461858,+16.08%,CINF
Geode Capital Management LLC,2.08%,3276159,367191901,32628,+1.01%,CINF
The London Company of Virginia LL...,1.73%,2722116,305094761,-8794,-0.32%,CINF
Managed Account Advisors LLC,1.72%,2704353,303103884,-124416,-4.40%,CINF
City National Rochdale LLC,1.17%,1843995,206674960,26636,+1.47%,CINF
ProShare Advisors LLC,1.06%,1661667,186239637,203048,+13.92%,CINF
"The Vanguard Group, Inc.",11.58%,56067228,1702761714,370274,+0.66%,CFG
BlackRock Fund Advisors,6.19%,29967297,910106810,684849,+2.34%,CFG
"SSgA Funds Management, Inc.",5.23%,25335172,769429174,-754253,-2.89%,CFG
Capital Research & Management Co....,4.67%,22615517,686833251,-1270320,-5.32%,CFG
"Amundi Asset Management US, Inc.",3.02%,14601248,443439902,915994,+6.69%,CFG
"Invesco Advisers, Inc.",2.54%,12304930,373700724,-108366,-0.87%,CFG
Charles Schwab Investment Managem...,2.34%,11311671,343535448,-125157,-1.09%,CFG
"JPMorgan Investment Management, I...",2.31%,11193368,339942586,-204011,-1.79%,CFG
Morgan Stanley Smith Barney LLC (...,2.21%,10708754,325224859,172982,+1.64%,CFG
Geode Capital Management LLC,2.08%,10074256,305955155,57749,+0.58%,CFG
"The Vanguard Group, Inc.",11.83%,14615339,2312731243,194381,+1.35%,CLX
"SSgA Funds Management, Inc.",7.15%,8830842,1397392438,198616,+2.30%,CLX
BlackRock Fund Advisors,5.14%,6344394,1003936907,-1204357,-15.95%,CLX
Wells Fargo Clearing Services LLC,2.38%,2939533,465151702,-59539,-1.99%,CLX
Geode Capital Management LLC,2.13%,2624490,415299298,71240,+2.79%,CLX
Nuance Investments LLC,1.42%,1750377,276979656,298692,+20.58%,CLX
"Northern Trust Investments, Inc.(...",1.32%,1625306,257188421,-22150,-1.34%,CLX
RBC Capital Markets LLC (Investme...,1.28%,1584302,250699948,40743,+2.64%,CLX
"Stifel Nicolaus & Co., Inc. (Inve...",1.17%,1444181,228527201,34619,+2.46%,CLX
Federated Equity Management Compa...,1.11%,1369043,216637364,8665,+0.64%,CLX
"The Vanguard Group, Inc.",12.71%,55099292,7374489241,145212,+0.26%,CCI
BlackRock Fund Advisors,4.99%,21610303,2892322954,-803712,-3.59%,CCI
"SSgA Funds Management, Inc.",4.76%,20613327,2758887686,100765,+0.49%,CCI
Capital Research & Management Co....,4.12%,17837895,2387423867,-450406,-2.46%,CCI
Managed Account Advisors LLC,2.40%,10399037,1391807112,454915,+4.57%,CCI
Capital Research & Management Co....,2.28%,9885759,1323109985,-1284809,-11.50%,CCI
Capital Research & Management Co....,2.27%,9845366,1317703785,-2958649,-23.11%,CCI
Geode Capital Management LLC,2.06%,8927943,1194915891,185016,+2.12%,CCI
Cohen & Steers Capital Management...,1.97%,8531954,1141916723,196741,+2.36%,CCI
Morgan Stanley Smith Barney LLC (...,1.75%,7562191,1012123643,-257408,-3.29%,CCI
Capital Research & Management Co....,11.82%,40603101,3966516937,2370289,+6.20%,DHI
"The Vanguard Group, Inc.",9.78%,33586089,3281025034,-19943,-0.06%,DHI
Capital Research & Management Co....,8.91%,30592657,2988596662,12574237,+69.79%,DHI
BlackRock Fund Advisors,5.57%,19121494,1867978749,-1825865,-8.72%,DHI
"SSgA Funds Management, Inc.",3.85%,13232143,1292648050,-664584,-4.78%,DHI
Parnassus Investments LLC,2.88%,9903292,967452595,6697209,+208.89%,DHI
Geode Capital Management LLC,1.88%,6470687,632121413,18774,+0.29%,DHI
Dimensional Fund Advisors LP,1.69%,5791066,565729238,26144,+0.45%,DHI
Franklin Mutual Advisers LLC,1.61%,5527665,539997594,-341636,-5.82%,DHI
Sanders Capital LLC,1.58%,5413320,528827231,19806,+0.37%,DHI
"The Vanguard Group, Inc.",11.10%,93943612,3314330631,1141537,+1.23%,GLW
BlackRock Fund Advisors,4.66%,39443149,1391554297,1157955,+3.02%,GLW
Wellington Management Co. LLP,4.13%,34942667,1232777292,492261,+1.43%,GLW
"SSgA Funds Management, Inc.",3.65%,30914767,1090672980,-987507,-3.10%,GLW
Geode Capital Management LLC,1.83%,15502178,546916840,190144,+1.24%,GLW
Columbia Management Investment Ad...,1.78%,15089836,532369414,276732,+1.87%,GLW
State Farm Investment Management ...,1.72%,14528900,512579592,0,0.00%,GLW
"JPMorgan Investment Management, I...",1.55%,13091647,461873306,-31592,-0.24%,GLW
"Northern Trust Investments, Inc.(...",1.26%,10646389,375604604,-112588,-1.05%,GLW
Dimensional Fund Advisors LP,1.10%,9313731,328588430,-17954,-0.19%,GLW
"The Vanguard Group, Inc.",11.41%,87680134,2151670488,1040233,+1.20%,CTRA
Wellington Management Co. LLP,10.58%,81311345,1995380406,1410652,+1.77%,CTRA
"SSgA Funds Management, Inc.",6.98%,53595062,1315222821,174141,+0.33%,CTRA
BlackRock Fund Advisors,6.80%,52227952,1281673942,5790255,+12.47%,CTRA
Aristotle Capital Management LLC,5.37%,41257693,1012463786,-843891,-2.00%,CTRA
Capital Research & Management Co....,4.23%,32512744,797862738,-25293644,-43.76%,CTRA
Geode Capital Management LLC,2.28%,17493645,429294048,-261543,-1.47%,CTRA
"JPMorgan Investment Management, I...",1.73%,13270364,325654733,-1950594,-12.82%,CTRA
"Victory Capital Management, Inc. ...",1.68%,12877429,316012108,51982,+0.41%,CTRA
State Farm Investment Management ...,1.26%,9706118,238188136,0,0.00%,CTRA
"The Vanguard Group, Inc.",7.10%,51726049,13037033390,688900,+1.35%,DHR
BlackRock Fund Advisors,4.19%,30559687,7702263511,1495363,+5.15%,DHR
"SSgA Funds Management, Inc.",3.75%,27337114,6890046213,154814,+0.57%,DHR
Fidelity Management & Research Co...,2.91%,21174612,5336849208,-1530329,-6.74%,DHR
Wellington Management Co. LLP,2.76%,20079231,5060769381,1111729,+5.86%,DHR
"T. Rowe Price Associates, Inc. (I...",2.52%,18367876,4629439467,-2189646,-10.65%,DHR
Geode Capital Management LLC,1.75%,12774623,3219715981,1595344,+14.27%,DHR
Capital Research & Management Co....,1.29%,9427276,2376050643,99997,+1.07%,DHR
Massachusetts Financial Services ...,1.26%,9180112,2313755428,-1252318,-12.00%,DHR
Morgan Stanley Investment Managem...,1.18%,8610126,2170096157,-240099,-2.71%,DHR
"The Vanguard Group, Inc.",6.74%,12423823,2806417377,789596,+6.79%,STZ
"SSgA Funds Management, Inc.",3.81%,7032365,1588540930,170249,+2.48%,STZ
BlackRock Fund Advisors,3.68%,6789009,1533569243,145447,+2.19%,STZ
Capital Research & Management Co....,3.62%,6677735,1508433559,-196124,-2.85%,STZ
Fidelity Management & Research Co...,2.29%,4215449,952227775,563499,+15.43%,STZ
Wellington Management Co. LLP,2.17%,4004084,904482535,-864125,-17.75%,STZ
"T. Rowe Price Associates, Inc. (I...",2.13%,3928866,887491541,1346846,+52.16%,STZ
Aristotle Capital Management LLC,1.94%,3580596,808820830,-180950,-4.81%,STZ
"JPMorgan Investment Management, I...",1.76%,3246292,733304900,-166404,-4.88%,STZ
Capital Research & Management Co....,1.69%,3120278,704839597,1579667,+102.54%,STZ
"The Vanguard Group, Inc.",11.33%,37091996,2911721686,-116057,-0.31%,CEG
Capital Research & Management Co....,7.36%,24120025,1893421963,1054731,+4.57%,CEG
Fidelity Management & Research Co...,6.06%,19847872,1558057952,610749,+3.17%,CEG
"SSgA Funds Management, Inc.",5.60%,18335301,1439321129,-483150,-2.57%,CEG
BlackRock Fund Advisors,5.55%,18165159,1425964982,1749949,+10.66%,CEG
Wellington Management Co. LLP,3.54%,11586256,909521096,-887612,-7.12%,CEG
Geode Capital Management LLC,2.11%,6895456,541293296,164478,+2.44%,CEG
Putnam Investment Management LLC,1.44%,4718801,370425879,196653,+4.35%,CEG
Orbis Investment Management Ltd.,1.27%,4147256,325559596,656394,+18.80%,CEG
Southpoint Capital Advisors LP,1.15%,3750000,294375000,250000,+7.14%,CEG
"The Vanguard Group, Inc.",8.50%,37709368,18736653678,506923,+1.36%,COST
BlackRock Fund Advisors,4.55%,20187167,10030397667,-253721,-1.24%,COST
"SSgA Funds Management, Inc.",4.33%,19181822,9530871897,380074,+2.02%,COST
Fidelity Management & Research Co...,1.94%,8602822,4274484167,-599809,-6.52%,COST
Geode Capital Management LLC,1.83%,8098880,4024090506,54574,+0.68%,COST
Norges Bank Investment Management,1.15%,5101521,2534792739,1008257,+24.63%,COST
AllianceBernstein LP,1.11%,4917039,2443129168,236837,+5.06%,COST
"Northern Trust Investments, Inc.(...",1.01%,4487607,2229757290,-35270,-0.78%,COST
Jennison Associates LLC,0.97%,4282608,2127899437,-63278,-1.46%,COST
Morgan Stanley Smith Barney LLC (...,0.96%,4262407,2117862166,14249,+0.34%,COST
"The Vanguard Group, Inc.",8.93%,12629716,3016986558,-7000,-0.06%,CMI
BlackRock Fund Advisors,5.23%,7388217,1764897277,-116851,-1.56%,CMI
